"","X","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3"
"227",489,0,"10",1,1,0,0,0,0.5,0.1,0.5,0.2,0.005,0.02,9,"disjunctive",0.1,2,"2","d2","B",-0.167417774643184,"B","B=1"
"228",489,0,"10",1,1,0,0,0,0.5,0.1,0.5,0.2,0.005,0.02,9,"disjunctive",0.1,2,"2","d2","Bu=0",0.710738512730538,"Bu","Bu=0"
"229",490,0,"10",1,1,0,1,0,0.5,0.1,0.5,0.2,0.005,0.02,10,"disjunctive",0,3,"2","d3","A",-0.456771635145984,"A","A=0"
"230",490,0,"10",1,1,0,1,0,0.5,0.1,0.5,0.2,0.005,0.02,10,"disjunctive",0,3,"2","d3","Au=1",0.116950956753359,"Au","Au=1"
"231",490,0,"10",1,1,0,1,0,0.5,0.1,0.5,0.2,0.005,0.02,10,"disjunctive",0,3,"2","d3","B",0.167680712786906,"B","B=1"
"232",490,0,"10",1,1,0,1,0,0.5,0.1,0.5,0.2,0.005,0.02,10,"disjunctive",0,3,"2","d3","Bu=0",-0.711632080519335,"Bu","Bu=0"
"233",491,0,"11",1,1,1,0,1,0.5,0.1,0.5,0.8,0.02,0.08,11,"disjunctive",0,2,"2","d2","A",0.136184874323481,"A","A=0"
"234",491,0,"11",1,1,1,0,1,0.5,0.1,0.5,0.8,0.02,0.08,11,"disjunctive",0,2,"2","d2","Au=1",-0.0340624161537931,"Au","Au=1"
"235",491,0,"11",1,1,1,0,1,0.5,0.1,0.5,0.8,0.02,0.08,11,"disjunctive",0,2,"2","d2","B",-0.779504245871679,"B","B=1"
"236",491,0,"11",1,1,1,0,1,0.5,0.1,0.5,0.8,0.02,0.08,11,"disjunctive",0,2,"2","d2","Bu=1",-0.46974602981125,"Bu","Bu=1"
"237",492,0,"11",1,1,1,1,1,0.5,0.1,0.5,0.8,0.02,0.08,12,"disjunctive",0.1,3,"2","d3","A",-0.135587784439844,"A","A=0"
"238",492,0,"11",1,1,1,1,1,0.5,0.1,0.5,0.8,0.02,0.08,12,"disjunctive",0.1,3,"2","d3","Au=1",0.036779760613243,"Au","Au=1"
"239",492,0,"11",1,1,1,1,1,0.5,0.1,0.5,0.8,0.02,0.08,12,"disjunctive",0.1,3,"2","d3","B",0.778970160095507,"B","B=1"
"240",492,0,"11",1,1,1,1,1,0.5,0.1,0.5,0.8,0.02,0.08,12,"disjunctive",0.1,3,"2","d3","Bu=1",0.469901631901567,"Bu","Bu=1"
"241",493,1,"00",0,0,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,13,"disjunctive",0.2,4,"2","d4","A",-0.0436257345818307,"A","A=1"
"242",493,1,"00",0,0,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,13,"disjunctive",0.2,4,"2","d4","Au=0",0.588873051439723,"Au","Au=0"
"243",493,1,"00",0,0,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,13,"disjunctive",0.2,4,"2","d4","B",0.348060459525878,"B","B=0"
"244",493,1,"00",0,0,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,13,"disjunctive",0.2,4,"2","d4","Bu=0",0.259891558840766,"Bu","Bu=0"
"245",494,1,"00",0,0,0,1,0,0.5,0.9,0.5,0.2,0.045,0.18,14,"disjunctive",0,5,"2","d5","A",0.0427744233997294,"A","A=1"
"246",494,1,"00",0,0,0,1,0,0.5,0.9,0.5,0.2,0.045,0.18,14,"disjunctive",0,5,"2","d5","Au=0",-0.58395909951135,"Au","Au=0"
"247",494,1,"00",0,0,0,1,0,0.5,0.9,0.5,0.2,0.045,0.18,14,"disjunctive",0,5,"2","d5","B",-0.351336760851421,"B","B=0"
"248",494,1,"00",0,0,0,1,0,0.5,0.9,0.5,0.2,0.045,0.18,14,"disjunctive",0,5,"2","d5","Bu=0",-0.26186882135332,"Bu","Bu=0"
"249",495,1,"01",0,0,1,0,0,0.5,0.9,0.5,0.8,0.18,0.72,15,"disjunctive",0.8,4,"2","d4","A",-0.0251260069805976,"A","A=1"
"250",495,1,"01",0,0,1,0,0,0.5,0.9,0.5,0.8,0.18,0.72,15,"disjunctive",0.8,4,"2","d4","Au=0",0.338068542024132,"Au","Au=0"
"251",495,1,"01",0,0,1,0,0,0.5,0.9,0.5,0.8,0.18,0.72,15,"disjunctive",0.8,4,"2","d4","B",0.885345915127222,"B","B=0"
"252",495,1,"01",0,0,1,0,0,0.5,0.9,0.5,0.8,0.18,0.72,15,"disjunctive",0.8,4,"2","d4","Bu=1",-0.0936567652009604,"Bu","Bu=1"
"253",496,1,"01",0,0,1,1,0,0.5,0.9,0.5,0.8,0.18,0.72,16,"disjunctive",0,5,"2","d5","A",0.0265033293627571,"A","A=1"
"254",496,1,"01",0,0,1,1,0,0.5,0.9,0.5,0.8,0.18,0.72,16,"disjunctive",0,5,"2","d5","Au=0",-0.335894387815776,"Au","Au=0"
"255",496,1,"01",0,0,1,1,0,0.5,0.9,0.5,0.8,0.18,0.72,16,"disjunctive",0,5,"2","d5","B",-0.886753835131234,"B","B=0"
"256",496,1,"01",0,0,1,1,0,0.5,0.9,0.5,0.8,0.18,0.72,16,"disjunctive",0,5,"2","d5","Bu=1",0.0934511043112706,"Bu","Bu=1"
"257",497,1,"10",1,0,0,0,1,0.5,0.1,0.5,0.2,0.005,0.02,17,"disjunctive",0,4,"2","d4","A",-0.52266365285886,"A","A=1"
"258",497,1,"10",1,0,0,0,1,0.5,0.1,0.5,0.2,0.005,0.02,17,"disjunctive",0,4,"2","d4","Au=1",-0.754484642124381,"Au","Au=1"
"259",497,1,"10",1,0,0,0,1,0.5,0.1,0.5,0.2,0.005,0.02,17,"disjunctive",0,4,"2","d4","B",0.068198521556632,"B","B=0"
"260",497,1,"10",1,0,0,0,1,0.5,0.1,0.5,0.2,0.005,0.02,17,"disjunctive",0,4,"2","d4","Bu=0",0.049905852226317,"Bu","Bu=0"
"261",498,1,"10",1,0,0,1,1,0.5,0.1,0.5,0.2,0.005,0.02,18,"disjunctive",0.2,5,"2","d5","A",0.520819213471375,"A","A=1"
"262",498,1,"10",1,0,0,1,1,0.5,0.1,0.5,0.2,0.005,0.02,18,"disjunctive",0.2,5,"2","d5","Au=1",0.755510709333171,"Au","Au=1"
"263",498,1,"10",1,0,0,1,1,0.5,0.1,0.5,0.2,0.005,0.02,18,"disjunctive",0.2,5,"2","d5","B",-0.0685606067899469,"B","B=0"
"264",498,1,"10",1,0,0,1,1,0.5,0.1,0.5,0.2,0.005,0.02,18,"disjunctive",0.2,5,"2","d5","Bu=0",-0.0520672225126204,"Bu","Bu=0"
