"","trial_id","pgroup","trialtype","node3","n","prop","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual"
"279","3_d6","3","d6","Bu=0",42,0.456521739130435,0.638652280621422,0.638652280621422,0.182884548618365,1,0.182884548618365,1,0.5,0.5,TRUE
"280","3_d6","3","d6","Bu=1",3,0.0326086956521739,0,0,0,0,-0.270488567641138,0,0,0.5,FALSE
"281","3_d7","3","d7","A=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"282","3_d7","3","d7","A=1",12,0.141176470588235,0.457244762641117,0.457244762641117,0.415690319465694,1,0.415690319465694,1,1,1,TRUE
"283","3_d7","3","d7","Au=0",0,0,0,-0.0281219139287116,0,0,-0.109964267146598,0.176470588235294,0,0.3,FALSE
"284","3_d7","3","d7","Au=1",48,0.564705882352941,0.231518150507162,0.231518150507162,0.196790427931088,0.823529411764706,0.196790427931088,0.823529411764706,0.7,0.7,TRUE
"285","3_d7","3","d7","B=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"286","3_d7","3","d7","B=1",6,0.0705882352941176,0.203141211201619,0.203141211201619,0.182771205945061,1,0.182771205945061,1,1,1,TRUE
"287","3_d7","3","d7","Bu=0",0,0,0,-0.102284336618569,0,0,-0.182501957534587,0.411764705882353,0,0.5,FALSE
"288","3_d7","3","d7","Bu=1",19,0.223529411764706,0.318075107574937,0.318075107574937,0.270363841438697,0.588235294117647,0.270363841438697,0.588235294117647,0.5,0.5,TRUE
